titulo,ttr,score_ttr,comprimento_medio_sentencas,comprimento_medio_palavras,media_stopwords,hapax_legomena,proporcao_hapax,score_diversidade,score_palavras_unicas,proporcao_conectivos,similaridade_media,coesao_score,num_conectivos,num_sentencas,DET,NOUN,VERB,PRON,ADP,CCONJ,ADJ,AUX,NUM,SCONJ,ADV,PROPN,X
bras_cubas_machado_cap_1,0.5594294770206022,3.237717908082409,4.581616481774961,4.581616481774961,0.4580031695721077,274,0.4342313787638668,2.987321711568938,2.7369255150554674,0.025,1.0,0.51,18.0,30.0,0.14573643410852713,0.2682170542635659,0.14263565891472868,0.07751937984496124,0.11162790697674418,0.06666666666666667,0.05426356589147287,0.021705426356589147,0.018604651162790697,0.03875968992248062,0.05116279069767442,0.0015503875968992248,0.0015503875968992248
bras_cubas_machado_cap_2,0.6338983050847458,3.535593220338983,4.783050847457627,4.783050847457627,0.4406779661016949,157,0.5322033898305085,3.332203389830509,3.128813559322034,0.035,1.0,0.52,12.0,16.0,0.14950166112956811,0.28903654485049834,0.15614617940199335,0.06312292358803986,0.1362126245847176,0.019933554817275746,0.046511627906976744,0.013289036544850499,0.009966777408637873,0.05647840531561462,0.046511627906976744,0.009966777408637873,0.0033222591362126247
bras_cubas_machado_cap_3,0.6136363636363636,3.4545454545454546,4.727272727272728,4.727272727272728,0.4318181818181818,155,0.5032467532467533,3.233766233766234,3.012987012987013,0.047,1.0,0.52,17.0,12.0,0.14826498422712933,0.2807570977917981,0.138801261829653,0.06309148264984227,0.138801261829653,0.050473186119873815,0.05993690851735016,0.031545741324921134,0.012618296529968454,0.022082018927444796,0.03785488958990536,0.015772870662460567,0.0
bras_cubas_machado_cap_4,0.5748898678414097,3.299559471365639,4.643171806167401,4.643171806167401,0.4273127753303964,207,0.4559471365638766,3.0616740088105727,2.8237885462555066,0.029,1.0,0.51,15.0,23.0,0.15800865800865802,0.23160173160173161,0.15367965367965367,0.08008658008658008,0.09090909090909091,0.06277056277056277,0.0735930735930736,0.017316017316017316,0.006493506493506494,0.047619047619047616,0.05411255411255411,0.023809523809523808,0.0
dom_casmurro_machado_cap_1,0.632398753894081,3.529595015576324,4.258566978193146,4.258566978193146,0.4080996884735202,160,0.4984423676012461,3.2616822429906542,2.9937694704049846,0.032,1.0,0.52,12.0,21.0,0.09411764705882353,0.22058823529411764,0.20294117647058824,0.10294117647058823,0.11764705882352941,0.05,0.052941176470588235,0.026470588235294117,0.0058823529411764705,0.047058823529411764,0.03823529411764706,0.03529411764705882,0.0058823529411764705
dom_casmurro_machado_cap_2,0.5450704225352113,3.1802816901408453,4.411267605633803,4.411267605633803,0.4267605633802817,307,0.4323943661971831,2.954929577464789,2.7295774647887323,0.023,1.0,0.51,19.0,42.0,0.11538461538461539,0.24587912087912087,0.1510989010989011,0.10164835164835165,0.11675824175824176,0.08104395604395605,0.06456043956043957,0.017857142857142856,0.008241758241758242,0.027472527472527472,0.050824175824175824,0.017857142857142856,0.0013736263736263737
dom_casmurro_machado_cap_3,0.5085803432137286,3.0343213728549143,4.238689547581903,4.238689547581903,0.4149765990639625,239,0.3728549141965678,2.7628705148205928,2.491419656786271,0.029,1.0,0.51,22.0,45.0,0.12462462462462462,0.22672672672672672,0.19369369369369369,0.07507507507507508,0.07357357357357357,0.04804804804804805,0.06906906906906907,0.02702702702702703,0.0045045045045045045,0.08408408408408409,0.03903903903903904,0.03153153153153153,0.0
dom_casmurro_machado_cap_4,0.6794871794871795,3.717948717948718,4.596153846153846,4.596153846153846,0.4423076923076923,84,0.5384615384615384,3.435897435897436,3.1538461538461537,0.028,1.0,0.51,5.0,11.0,0.14285714285714285,0.2795031055900621,0.14906832298136646,0.031055900621118012,0.13664596273291926,0.043478260869565216,0.055900621118012424,0.043478260869565216,0.012422360248447204,0.049689440993788817,0.037267080745341616,0.018633540372670808,0.0
iracema_jose_de_alencar_cap_1,0.6513761467889908,3.6055045871559632,4.620795107033639,4.620795107033639,0.3577981651376147,179,0.5474006116207951,3.397553516819572,3.1896024464831805,0.033,1.0,0.52,12.0,14.0,0.14939024390243902,0.2865853658536585,0.14329268292682926,0.0701219512195122,0.1524390243902439,0.027439024390243903,0.11890243902439024,0.006097560975609756,0.003048780487804878,0.012195121951219513,0.024390243902439025,0.006097560975609756,0.0
iracema_jose_de_alencar_cap_2,0.5848303393213573,3.339321357285429,4.397205588822355,4.397205588822355,0.4191616766467065,240,0.4790419161676646,3.127744510978044,2.9161676646706587,0.023,1.0,0.51,13.0,31.0,0.14792899408284024,0.2978303747534517,0.14003944773175542,0.0670611439842209,0.14990138067061143,0.03944773175542406,0.07692307692307693,0.007889546351084813,0.0019723865877712033,0.009861932938856016,0.03944773175542406,0.01972386587771203,0.0019723865877712033
